Model,Mean,StdDev,Min,25,Median,75,Max
Jordan (hidden size 32),94.21,40.34,12.28,68.55,89.31,129.9,170.12
Elman (hidden size 32),130.82,44.63,23.29,109.79,133.47,168.81,213.41
