Model,Mean,StdDev,Min,25,Median,75,Max
Jordan (hidden size 32),181732.2,212042.46,16.22,62269.17,133358.66,230476.79,3889285.88
Elman (hidden size 32),153210.22,214216.6,19.88,47342.44,97490.39,173481.61,3923271.12
MultiRNN (hidden size 32),266947.296963,278741.108912,26.65625,94025.117188,195635.539062,345114.367188,4263308.875
